DATE,TLAACBW027SBOG
2020-02-12,17796.3015
2020-02-19,17902.8747
2020-02-26,17890.2321
2020-03-04,18120.4764
2020-03-11,18235.7255
2020-03-18,18660.6359
2020-03-25,19314.3787
2020-04-01,19598.755
2020-04-08,19559.9022
2020-04-15,19936.5399
2020-04-22,20155.3445
2020-04-29,20305.8028
2020-05-06,20288.3207
2020-05-13,20272.2786
2020-05-20,20266.3167
2020-05-27,20205.8979
2020-06-03,20151.62
2020-06-10,20167.6548
2020-06-17,20161.0404
2020-06-24,20131.9563
2020-07-01,20145.1508
2020-07-08,20082.5181
2020-07-15,20045.1568
2020-07-22,19929.0085
2020-07-29,19953.2387
2020-08-05,19986.1425
2020-08-12,20002.4329
2020-08-19,20010.4727
2020-08-26,20025.6139
2020-09-02,20038.1194
2020-09-09,20083.4458
2020-09-16,20174.6405
2020-09-23,20173.3086
2020-09-30,20048.0393
2020-10-07,20103.8408
2020-10-14,20165.5331
2020-10-21,20182.8822
2020-10-28,20198.7285
2020-11-04,20226.6356
2020-11-11,20198.0949
2020-11-18,20223.6644
2020-11-25,20336.5547
2020-12-02,20285.7902
2020-12-09,20305.6344
2020-12-16,20375.2047
2020-12-23,20442.1285
2020-12-30,20511.4703
2021-01-06,20508.2158
2021-01-13,20492.0422
2021-01-20,20523.6397
2021-01-27,20570.1843
2021-02-03,20586.032
2021-02-10,20676.745
2021-02-17,20742.8455
2021-02-24,20732.8457
2021-03-03,20775.372
2021-03-10,20827.5558
2021-03-17,20956.8183
2021-03-24,21017.285
2021-03-31,20971.4989
2021-04-07,21176.2382
2021-04-14,21260.6389
2021-04-21,21312.4547
2021-04-28,21433.3416
2021-05-05,21468.6875
2021-05-12,21494.0311
2021-05-19,21431.4518
2021-05-26,21443.2178
2021-06-02,21456.8174
2021-06-09,21563.3597
2021-06-16,21549.7335
2021-06-23,21583.3508
2021-06-30,21381.3342
2021-07-07,21576.5173
2021-07-14,21662.0552
2021-07-21,21716.7752
2021-07-28,21741.6947
2021-08-04,21827.0308
2021-08-11,21826.1383
2021-08-18,21963.8835
2021-08-25,21973.2538
2021-09-01,22058.3194
2021-09-08,22043.1907
2021-09-15,22160.2021
2021-09-22,22154.0467
2021-09-29,22190.7226
2021-10-06,22243.908
2021-10-13,22300.3662
2021-10-20,22346.098
2021-10-27,22367.7251
2021-11-03,22442.0767
2021-11-10,22444.1477
2021-11-17,22469.1609
2021-11-24,22493.2216
2021-12-01,22609.4247
2021-12-08,22564.0223
2021-12-15,22538.3317
2021-12-22,22620.8823
2021-12-29,22605.474
